DEBUG:root:('Index: 0', 'SKU: GH-BBM-559', 'image_links: http://www.johnsonwindowfilms.com/images/tints/daylight-natural/dn-35-lg.jpg', 'attachment_links: https://i.imgur.com/5lKC6DM.jpg')
DEBUG:root:('Index: 53', 'SKU: GH-BMM-1040', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_11-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 54', 'SKU: GH-BMM-1041', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_11-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 55', 'SKU: GH-BMM-1042', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_12-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 56', 'SKU: GH-BMM-1043', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_13-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 57', 'SKU: GH-BMM-1044', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_14-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 58', 'SKU: GH-BMM-1045', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_15-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 59', 'SKU: GH-BMM-1046', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_15-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 60', 'SKU: GH-BMM-1047', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_33-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 61', 'SKU: GH-BMM-1048', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_33-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 62', 'SKU: GH-BMM-1049', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_41-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 63', 'SKU: GH-BMM-105', 'image_links: https://i.imgur.com/h1ctFyF.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 64', 'SKU: GH-BMM-1050', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_41-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 65', 'SKU: GH-BMM-1051', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_41-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 66', 'SKU: GH-BMM-1052', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_41-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 67', 'SKU: GH-BMM-1053', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_41-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 68', 'SKU: GH-BMM-1054', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_41-1.jpg', 'attachment_links: nan')
